1	 Färjestad	52	28	6	5	13	165	114	51	101
2	 Luleå	52	25	11	4	12	138	100	38	101
3	 Frölunda	52	24	8	4	16	152	134	18	92
4	 Djurgården	52	23	5	7	17	149	120	29	86
5	 Skellefteå	52	19	10	7	16	142	124	18	84
6	 Malmö	52	21	8	3	20	136	125	11	82
7	 Växjö	52	22	3	10	17	123	120	3	82
8	 HV71	52	24	1	6	21	136	125	11	80
9	 Rögle	52	20	4	7	21	130	143	-13	75
10	 Örebro	52	16	7	7	22	130	146	-16	69
11	 Brynäs	52	17	2	14	19	116	145	-29	69
12	 Linköping	52	15	8	6	23	130	143	-13	67
13	 Mora	52	13	9	3	27	126	167	-41	60
14	 Timrå	52	10	5	4	33	115	182	-67	44
